Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
SGO.PA,UCG.MI,SGO.PA,UCG.MI,SGO.PA,UCG.MI,SGO.PA,UCG.MI,SGO.PA,UCG.MI
105.9000015258789,54.58000183105469,106.19999694824219,55.06999969482422,100.3499984741211,52.9900016784668,100.3499984741211,54.65999984741211,2578689,14360188
105.9000015258789,53.36000061035156,106.6500015258789,54.70000076293945,102.9000015258789,53.209999084472656,105.0999984741211,54.400001525878906,2788784,10800751
100.0999984741211,51.59000015258789,105.9000015258789,53.81999969482422,99.54000091552734,50.5099983215332,105.5999984741211,53.70000076293945,2254911,11219501
98.16000366210938,50.400001525878906,100.75,51.9900016784668,98.0199966430664,50.04999923706055,99.5,51.81999969482422,1783368,9330405
100.0999984741211,51.95000076293945,101.05000305175781,52.369998931884766,99.13999938964844,50.939998626708984,99.86000061035156,51.0,1486319,10096898
98.58000183105469,51.040000915527344,100.4000015258789,52.25,98.23999786376953,51.0099983215332,99.08000183105469,51.630001068115234,1784459,6438936
100.30000305175781,52.70000076293945,101.9000015258789,52.9900016784668,97.87999725341797,50.4900016784668,98.22000122070312,51.41999816894531,1526007,9677679
100.0,53.630001068115234,100.80000305175781,53.779998779296875,99.68000030517578,52.470001220703125,100.5999984741211,52.900001525878906,926498,6387667
100.9000015258789,54.9900016784668,101.30000305175781,55.06999969482422,99.83999633789062,53.66999816894531,100.3499984741211,53.900001525878906,1086983,9036010
102.5999984741211,54.95000076293945,102.94999694824219,55.33000183105469,100.1500015258789,54.61000061035156,100.1500015258789,54.650001525878906,1107071,6992999
101.44999694824219,53.40999984741211,103.3499984741211,55.15999984741211,100.1500015258789,53.150001525878906,102.30000305175781,55.029998779296875,1211004,6878110
99.95999908447266,53.310001373291016,101.05000305175781,53.72999954223633,99.86000061035156,52.790000915527344,100.69999694824219,53.029998779296875,2483910,15070515
99.69999694824219,53.52000045776367,101.30000305175781,54.119998931884766,99.5,53.52000045776367,101.25,53.81999969482422,799850,5604613
100.0999984741211,55.279998779296875,101.05000305175781,55.279998779296875,98.72000122070312,53.689998626708984,99.72000122070312,53.720001220703125,1062640,6849120
99.5999984741211,55.02000045776367,100.25,55.45000076293945,99.5199966430664,54.27000045776367,100.0,55.20000076293945,1064753,7812212
98.45999908447266,54.54999923706055,99.05999755859375,54.900001525878906,96.9800033569336,53.52000045776367,98.13999938964844,54.380001068115234,1359427,6626925
96.55999755859375,53.20000076293945,98.33999633789062,54.02000045776367,95.95999908447266,52.97999954223633,97.5,53.70000076293945,1269729,7576961
91.69999694824219,51.529998779296875,95.69999694824219,52.900001525878906,91.68000030517578,51.130001068115234,95.26000213623047,52.75,1837610,9454735
92.30000305175781,52.66999816894531,93.13999938964844,52.959999084472656,91.5999984741211,51.68000030517578,92.23999786376953,52.0,1061474,7431514
92.87999725341797,52.13999938964844,93.0999984741211,52.86000061035156,91.44000244140625,51.31999969482422,91.87999725341797,52.380001068115234,720993,5377989
88.63999938964844,48.5099983215332,90.66000366210938,50.47999954223633,87.72000122070312,48.375,89.5,50.25,1465668,15745609
81.77999877929688,43.8650016784668,87.31999969482422,47.630001068115234,79.72000122070312,42.005001068115234,87.0999984741211,47.5,2447726,27283463
